"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"51","51","MR13",12.66666667,12.9,0.43060355,0.56939645,25.67,33.944,10,8,11.0344827586207,5,5,6,11.5,8.5,5.5,3,6,10.6788059701493,6,12.0907142857143,9.61527777777778,"MR","13",0.56939645,8.274
"52","52","MR10",9.533333333,9.5,0.609964413,0.390035587,14.569,9.316,8.308375,9,11.0344827586207,6.89676470588235,9,7,9.95285714285714,9.09294871794872,3,4,6,10.6788059701493,6,12.0907142857143,9.61527777777778,"MR","10",0.390035587,-5.253
"53","53","MR13",13.06666667,13.1,0.558149919,0.441850081,60,47.498,5,11,11.0344827586207,4,4,9,6,8,1,3,4,12,8.89421052631579,12.0907142857143,6,"MR","13",0.441850081,-12.502
"54","54","MR10",10.46666667,10.5,0.44750496,0.55249504,29.325,36.205,7,9,11.0344827586207,4,6,9,9.95285714285714,8.5,4.27025641025641,2.5,4,10.6788059701493,8.89421052631579,12.0907142857143,9,"MR","10",0.55249504,6.88
"55","55","MR10",9.566666667,9.6,0.554878049,0.445121951,12.376,9.928,6.13,7.5,11.0344827586207,3.5,8,7,6.5,6.25,2,3.37,5.75,8.5,8.5,12.0907142857143,6,"MR","10",0.445121951,-2.448
"56","56","MR10",10.3,10.3,0.445301543,0.554698457,10.795,13.447,10,10.1546835443038,11.0344827586207,4.5,9,8,9.5,9.09294871794872,3.5,4,7.5,10.6788059701493,8.89421052631579,12.0907142857143,9.5,"MR","10",0.554698457,2.652
"57","57","MR10",10.4,10.3,0.690690691,0.309309309,19.55,8.755,10,10.1546835443038,11.0344827586207,4.5,9,8,9.5,9.09294871794872,3.5,4,7.5,10.6788059701493,8.89421052631579,12.0907142857143,9.5,"MR","10",0.309309309,-10.795
"58","58","MR10",10.33333333,10.3,0.512152778,0.487847222,30.09,28.662,7.25,10,11.0344827586207,7.5,10,8.5,9.95285714285714,9.5,4.5,5.5,6,10,8.5,12.0907142857143,9.61527777777778,"MR","10",0.487847222,-1.428
"59","59","MR10",9.866666667,9.9,0.645784996,0.354215004,14.195,7.786,8.308375,10.1546835443038,11.0344827586207,8.5,8.5,9,9.95285714285714,9.09294871794872,8,9,6,5.75,8.89421052631579,12.0907142857143,9.5,"MR","10",0.354215004,-6.409
"60","60","MR10",10.06666667,10.1,0.419681621,0.580318379,14.79,20.451,7,9,11.0344827586207,6.89676470588235,8.5,9,9,7.5,7,3,5,9,6,10,8,"MR","10",0.580318379,5.661
"61","61",NA,NA,9.9,NA,NA,NA,NA,6,6.5,9.5,6.5,9,8.5,9.5,6,2.5,3.5,4,6,4,7.83,9,NA,NA,NA,NA
"62","62",NA,NA,12.9,NA,NA,NA,NA,6.25,7.5,NA,3.5,NA,7,10,7,2.5,3.5,6.5,10.5,3,11,9,NA,NA,NA,NA
"63","63",NA,NA,13,NA,NA,NA,NA,7,9.5,11,7,9,9,11,7,4,NA,6,8,10,10,11,NA,NA,NA,NA
"64","64",NA,NA,13.1,NA,NA,NA,NA,8,11,NA,6,6,7,11,8,6,4.5,6,11,NA,12,10,NA,NA,NA,NA
