subj,experiment.orig,experiment.paper,experiment.new,trial,orig.look,trialn,secondary.look,coder
10m_37,MR3,Exp4.Study3,min.peril.online.10,test1,57.334,1,58.548,Melyssa
10m_37,MR3,Exp4.Study3,min.peril.online.10,test2,38.42,2,38.511,Melyssa
10m_37,MR3,Exp4.Study3,min.peril.online.10,test3,13.161,3,13.563,Melyssa
10m_37,MR3,Exp4.Study3,min.peril.online.10,test4,43.468,4,43.263,Melyssa
10m_14,MR3,Exp4.Study3,min.peril.online.10,test1,8.849,1,8.432,Melyssa
10m_14,MR3,Exp4.Study3,min.peril.online.10,test2,10.168,2,9.238,Melyssa
10m_14,MR3,Exp4.Study3,min.peril.online.10,test3,6.696,3,5.58,Melyssa
10m_14,MR3,Exp4.Study3,min.peril.online.10,test4,14.88,4,14.078,Melyssa
10m_22,MR3,Exp4.Study3,min.peril.online.10,test1,28.52,1,29.264,Melyssa
10m_22,MR3,Exp4.Study3,min.peril.online.10,test2,16.864,2,16.12,Melyssa
10m_22,MR3,Exp4.Study3,min.peril.online.10,test3,51.212,3,51.15,Melyssa
10m_22,MR3,Exp4.Study3,min.peril.online.10,test4,15.996,4,15.934,Melyssa
10m_26,MR3,Exp4.Study3,min.peril.online.10,test1,56.28,1,56.156,Melyssa
10m_26,MR3,Exp4.Study3,min.peril.online.10,test2,42.904,2,43.448,Melyssa
10m_26,MR3,Exp4.Study3,min.peril.online.10,test3,8.866,3,8.866,Melyssa
10m_26,MR3,Exp4.Study3,min.peril.online.10,test4,11.594,4,11.346,Melyssa
10m_30,MR3,Exp4.Study3,min.peril.online.10,test1,21.576,1,22.32,Melyssa
10m_30,MR3,Exp4.Study3,min.peril.online.10,test2,9.672,2,9.734,Melyssa
10m_30,MR3,Exp4.Study3,min.peril.online.10,test3,10.044,3,10.044,Melyssa
10m_30,MR3,Exp4.Study3,min.peril.online.10,test4,10.23,4,10.602,Melyssa
10m_34,MR3,Exp4.Study3,min.peril.online.10,test1,57.458,1,57.458,Melyssa
10m_34,MR3,Exp4.Study3,min.peril.online.10,test2,6.2,2,6.324,Melyssa
10m_34,MR3,Exp4.Study3,min.peril.online.10,test3,5.828,3,5.828,Melyssa
10m_34,MR3,Exp4.Study3,min.peril.online.10,test4,16.678,4,16.678,Melyssa
10m_38,MR3,Exp4.Study3,min.peril.online.10,test1,11.284,1,11.222,Melyssa
10m_38,MR3,Exp4.Study3,min.peril.online.10,test2,14.136,2,14.074,Melyssa
10m_38,MR3,Exp4.Study3,min.peril.online.10,test3,5.766,3,5.704,Melyssa
10m_38,MR3,Exp4.Study3,min.peril.online.10,test4,22.258,4,21.948,Melyssa
10m_3,MR3,Exp4.Study3,min.peril.online.10,test1,33.914,1,14.632,Melyssa
10m_3,MR3,Exp4.Study3,min.peril.online.10,test2,23.188,2,26.784,Melyssa
10m_3,MR3,Exp4.Study3,min.peril.online.10,test3,13.516,3,13.02,Melyssa
10m_3,MR3,Exp4.Study3,min.peril.online.10,test4,6.882,4,6.882,Melyssa
10m_7,MR3,Exp4.Study3,min.peril.online.10,test1,12.214,1,12.214,Melyssa
10m_7,MR3,Exp4.Study3,min.peril.online.10,test2,4.898,2,4.898,Melyssa
10m_7,MR3,Exp4.Study3,min.peril.online.10,test3,8.556,3,8.556,Melyssa
10m_7,MR3,Exp4.Study3,min.peril.online.10,test4,6.386,4,6.448,Melyssa
10m_18,MR3,Exp4.Study3,min.peril.online.10,test1,32.364,1,32.302,Melyssa
10m_18,MR3,Exp4.Study3,min.peril.online.10,test2,23.312,2,23.126,Melyssa
10m_18,MR3,Exp4.Study3,min.peril.online.10,test3,6.448,3,8.99,Melyssa
10m_18,MR3,Exp4.Study3,min.peril.online.10,test4,11.532,4,11.408,Melyssa
10m_19,MR3,Exp4.Study3,min.peril.online.10,test1,12.71,1,12.772,Melyssa
10m_19,MR3,Exp4.Study3,min.peril.online.10,test2,24.49,2,9.858,Melyssa
10m_19,MR3,Exp4.Study3,min.peril.online.10,test3,15.438,3,15.438,Melyssa
10m_19,MR3,Exp4.Study3,min.peril.online.10,test4,18.228,4,18.228,Melyssa
10m_31,MR3,Exp4.Study3,min.peril.online.10,test1,5.518,1,43.462,Melyssa
10m_31,MR3,Exp4.Study3,min.peril.online.10,test2,7.192,2,7.192,Melyssa
10m_31,MR3,Exp4.Study3,min.peril.online.10,test3,31.682,3,31.248,Melyssa
10m_31,MR3,Exp4.Study3,min.peril.online.10,test4,14.694,4,14.694,Melyssa
10m_12,MR3,Exp4.Study3,min.peril.online.10,test1,17.174,1,17.98,Melyssa
10m_12,MR3,Exp4.Study3,min.peril.online.10,test2,14.322,2,13.888,Melyssa
10m_12,MR3,Exp4.Study3,min.peril.online.10,test3,NA,3,NA,Melyssa
10m_12,MR3,Exp4.Study3,min.peril.online.10,test4,NA,4,NA,Melyssa
10m_16,MR3,Exp4.Study3,min.peril.online.10,test1,10.292,1,9.92,Melyssa
10m_16,MR3,Exp4.Study3,min.peril.online.10,test2,19.344,2,19.344,Melyssa
10m_16,MR3,Exp4.Study3,min.peril.online.10,test3,NA,3,NA,Melyssa
10m_16,MR3,Exp4.Study3,min.peril.online.10,test4,NA,4,NA,Melyssa
10m_24,MR3,Exp4.Study3,min.peril.online.10,test1,31.434,1,31.744,Melyssa
10m_24,MR3,Exp4.Study3,min.peril.online.10,test2,19.22,2,19.22,Melyssa
10m_24,MR3,Exp4.Study3,min.peril.online.10,test3,16.182,3,12.648,Melyssa
10m_24,MR3,Exp4.Study3,min.peril.online.10,test4,38.626,4,38.75,Melyssa
10m_28,MR3,Exp4.Study3,min.peril.online.10,test1,19.778,1,19.84,Melyssa
10m_28,MR3,Exp4.Study3,min.peril.online.10,test2,9.858,2,9.672,Melyssa
10m_28,MR3,Exp4.Study3,min.peril.online.10,test3,NA,3,NA,Melyssa
10m_28,MR3,Exp4.Study3,min.peril.online.10,test4,NA,4,NA,Melyssa
10m_32,MR3,Exp4.Study3,min.peril.online.10,test1,9.176,1,9.176,Melyssa
10m_32,MR3,Exp4.Study3,min.peril.online.10,test2,5.766,2,5.828,Melyssa
10m_32,MR3,Exp4.Study3,min.peril.online.10,test3,3.782,3,3.844,Melyssa
10m_32,MR3,Exp4.Study3,min.peril.online.10,test4,3.348,4,3.41,Melyssa
