,reliability,sex,subj,agem,experiment,exp,cost,video_quality,audio_quality,device,highchair,HV_side,first_test,first_fam,first_test_deeper_side,control_deeper_side,control_firstevent,control_1,control_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,testavg_lower,testavg_higher,lower1,lower2,higher1,higher2,control_shallow,control_deep
,,f,S1_21,10.067,LUTS.Exp.1,,Barriers,,,,,left,LV,HL,,,,,,60,16.2,25.8,60,6.78,16.06,36.1,8.3,8.53,8.41,30.81,184.84,22.32,8.36,36.1,8.53,8.3,8.41,,
,,f,S1_22,10.433,LUTS.Exp.1,,Barriers,,,,,right,HV,HL,,,,,,60,60,60,29.98,19.33,46.7,22.1,8.45,8.92,30.49,46,276.01,19.47,15.51,8.45,30.49,22.1,8.92,,
,,m,S1_23,9.967,LUTS.Exp.1,,Barriers,,,,,left,HV,LH,,,,,,60,29.65,17.41,25.62,19.66,25.89,8.67,22.46,21.8,21.91,29.71,178.23,22.19,15.24,22.46,21.91,8.67,21.8,,
,,f,S1_24,9.667,LUTS.Exp.1,,Barriers,,,,,left,LV,LH,,,,,,60,60,60,7.87,60,9.06,59.25,48.48,30.86,29.82,42.82,256.93,45.06,39.15,59.25,30.86,48.48,29.82,,
,,f,S1_3,9.7,LUTS.Exp.1,,Barriers,,,,,right,HV,HL,,,,,,60,60,60,60,18.18,10.7,60,60,18.46,52.83,44.81,268.88,56.42,39.23,60,52.83,60,18.46,,
,,m,S1_4,9.867,LUTS.Exp.1,,Barriers,,,,,left,HV,LH,,,,,,60,31.28,4.94,4.97,3.77,4.17,15.26,21.75,13.12,24.77,18.19,109.13,23.26,14.19,21.75,24.77,15.26,13.12,,
,,m,S1_5,10.1,LUTS.Exp.1,,Barriers,,,,,right,LV,HL,,,,,,60,60,60,60,60,60,42.11,45.75,9.08,8.59,60,360,25.6,27.17,42.11,9.08,45.75,8.59,,
,,f,S1_6,9.733,LUTS.Exp.1,,Barriers,,,,,left,LV,LH,,,,,,60,60,60,54.82,41.28,19.1,23.59,6.99,6.06,7.47,49.2,295.2,14.83,7.23,23.59,6.06,6.99,7.47,,
,,m,S1_7,9.9,LUTS.Exp.1,,Barriers,,,,,right,LV,LH,,,,,,60,60,60,12.31,28.68,6.3,60,47.76,32.3,8.25,37.88,227.29,46.15,28.01,60,32.3,47.76,8.25,,
,,f,S1_8,9.8,LUTS.Exp.1,,Barriers,,,,,right,HV,LH,,,,,,60,60,55.23,60,60,60,3.31,12.66,1.71,17.33,59.21,355.23,15,2.51,12.66,17.33,3.31,1.71,,
